datetime,sensor,state,value,apparatus
2025-11-23 04:39:48,dv3,on,60,"Антонича, 6"
2025-11-23 08:01:12,dv3,off,950,"Антонича, 6"
2025-11-23 08:26:19,dv3,on,60,"Антонича, 6"
2025-11-23 07:27:50,dv3,on,60,"Багряного, 39"
2025-11-23 08:50:04,dv3,off,950,"Багряного, 39"
2025-11-23 08:50:58,dv3,on,60,"Багряного, 39"
2025-11-23 09:25:33,dv3,off,950,"Бандери, 69"
2025-11-23 01:34:04,dv3,on,60,"Братів Міхновських, 23"
2025-11-23 01:34:04,dv3,on,60,"Братів Міхновських, 23"
2025-11-23 01:34:04,dv3,on,60,"Братів Міхновських, 23"
2025-11-23 08:55:43,dv3,off,950,"Братів Міхновських, 23"
2025-11-23 09:27:51,dv3,on,60,"Братів Міхновських, 23"
2025-11-23 07:06:23,dv3,off,950,"Брюховицька, 143"
2025-11-23 07:40:13,dv3,on,60,"Брюховицька, 143"
2025-11-23 09:18:55,dv3,off,950,"Брюховицька, 143"
2025-11-23 09:32:08,dv3,off,950,"Брюховичі Львівська, 92"
2025-11-23 09:03:54,dv3,off,950,"В.Великого, 1"
2025-11-23 09:23:50,dv3,on,60,"В.Великого, 1"
2025-11-23 09:30:48,dv3,off,950,"В.Великого, 1"
2025-11-23 08:10:17,dv3,off,950,"В.Великого, 35а"
2025-11-23 08:20:03,dv3,on,60,"В.Великого, 35а"
2025-11-23 08:49:43,dv3,off,950,"В.Великого, 75"
2025-11-23 08:09:32,dv3,off,950,"Веливока, 9"
2025-11-23 08:17:27,dv3,on,60,"Веливока, 9"
2025-11-23 08:32:38,dv3,off,950,"Веливока, 9"
2025-11-23 08:40:36,dv3,on,60,"Веливока, 9"
2025-11-23 09:05:05,dv3,off,950,"Веливока, 9"
2025-11-23 09:20:39,dv3,on,60,"Веливока, 9"
2025-11-23 02:42:56,dv3,off,950,"Ветеранів, 5"
2025-11-23 02:52:40,dv3,on,696,"Ветеранів, 5"
2025-11-23 08:03:47,dv3,off,950,"Ветеранів, 5"
2025-11-23 08:16:05,dv3,on,697,"Ветеранів, 5"
2025-11-23 00:06:09,dv3,on,60,"Виговського, 5б"
2025-11-23 09:29:45,dv3,off,950,"Виговського, 5б"
2025-11-23 09:04:31,dv3,off,950,"Винники, 10"
2025-11-23 09:14:35,dv3,on,60,"Винники, 10"
2025-11-23 09:14:32,dv3,off,950,"Винники, 10б"
2025-11-23 09:24:55,dv3,on,60,"Винники, 10б"
2025-11-23 00:56:53,dv3,on,60,"Гайдамацька, 9а"
2025-11-23 08:12:13,dv3,off,950,"Гайдамацька, 9а"
2025-11-23 08:21:48,dv3,on,60,"Гайдамацька, 9а"
2025-11-23 09:08:24,dv3,off,950,"Гайдамацька, 9а"
2025-11-23 09:27:20,dv3,on,60,"Гайдамацька, 9а"
2025-11-23 00:06:25,dv3,on,60,"Генерала Тарнавського, 104б"
2025-11-23 06:34:39,dv3,off,950,"Генерала Тарнавського, 104б"
2025-11-23 07:02:23,dv3,on,60,"Генерала Тарнавського, 104б"
2025-11-23 07:25:16,dv3,off,950,"Генерала Тарнавського, 104б"
2025-11-23 07:48:44,dv3,on,60,"Генерала Тарнавського, 104б"
2025-11-23 08:50:29,dv3,off,950,"Генерала Тарнавського, 104б"
2025-11-23 09:03:36,dv3,on,60,"Генерала Тарнавського, 104б"
2025-11-23 09:33:02,dv3,off,950,"Генерала Тарнавського, 104б"
2025-11-23 08:25:08,dv3,off,950,"Городоцька, 213"
2025-11-23 09:17:33,dv3,on,60,"Городоцька, 213"
2025-11-23 00:04:52,dv3,on,60,"Городоцька, 45"
2025-11-23 07:54:15,dv3,off,950,"Городоцька, 45"
2025-11-23 08:14:44,dv3,on,60,"Городоцька, 45"
2025-11-23 08:23:25,dv3,off,950,"Городоцька, 45"
2025-11-23 09:16:58,dv3,on,60,"Городоцька, 45"
2025-11-23 08:07:56,dv3,off,950,"Грушевського, 7"
2025-11-23 08:20:04,dv3,on,60,"Грушевського, 7"
2025-11-23 08:52:45,dv3,off,950,"Грушевського, 7"
2025-11-23 09:16:54,dv3,on,60,"Грушевського, 7"
2025-11-23 01:37:35,dv3,on,60,"Грінченка, 6"
2025-11-23 06:15:53,dv3,off,950,"Грінченка, 6"
2025-11-23 06:38:21,dv3,on,60,"Грінченка, 6"
2025-11-23 02:45:11,dv3,on,60,"Дзиндри, 1а"
2025-11-23 04:59:44,dv3,on,60,"Дністерська, 1"
2025-11-23 07:55:41,dv3,off,950,"Дунайська, 7"
2025-11-23 08:28:07,dv3,on,60,"Дунайська, 7"
2025-11-23 09:10:45,dv3,off,950,"Дунайська, 7"
2025-11-23 00:38:18,dv3,off,950,"Замарстинівська, 170н"
2025-11-23 00:40:25,dv3,on,60,"Замарстинівська, 170н"
2025-11-23 01:37:18,dv3,off,950,"Замарстинівська, 170н"
2025-11-23 01:39:24,dv3,on,60,"Замарстинівська, 170н"
2025-11-23 02:36:17,dv3,off,950,"Замарстинівська, 170н"
2025-11-23 02:38:23,dv3,on,60,"Замарстинівська, 170н"
2025-11-23 03:35:42,dv3,off,950,"Замарстинівська, 170н"
2025-11-23 03:37:46,dv3,on,60,"Замарстинівська, 170н"
2025-11-23 04:34:09,dv3,off,950,"Замарстинівська, 170н"
2025-11-23 04:36:08,dv3,on,60,"Замарстинівська, 170н"
2025-11-23 05:32:29,dv3,off,950,"Замарстинівська, 170н"
2025-11-23 05:34:28,dv3,on,60,"Замарстинівська, 170н"
2025-11-23 06:31:00,dv3,off,950,"Замарстинівська, 170н"
2025-11-23 06:33:04,dv3,on,60,"Замарстинівська, 170н"
2025-11-23 07:29:05,dv3,off,950,"Замарстинівська, 170н"
2025-11-23 07:31:08,dv3,on,60,"Замарстинівська, 170н"
2025-11-23 08:24:28,dv3,off,950,"Замарстинівська, 170н"
2025-11-23 08:26:25,dv3,on,60,"Замарстинівська, 170н"
2025-11-23 08:48:22,dv3,off,950,"Замарстинівська, 170н"
2025-11-23 08:56:53,dv3,on,60,"Замарстинівська, 170н"
2025-11-23 08:59:21,dv3,off,950,"Замарстинівська, 170н"
2025-11-23 09:20:26,dv3,on,60,"Замарстинівська, 170н"
2025-11-23 04:15:53,dv3,on,60,"Замарстинівська, 55г"
2025-11-23 04:18:05,dv3,off,950,"Замарстинівська, 55г"
2025-11-23 04:18:59,dv3,on,60,"Замарстинівська, 55г"
2025-11-23 04:23:21,dv3,off,950,"Замарстинівська, 55г"
2025-11-23 04:24:12,dv3,on,60,"Замарстинівська, 55г"
2025-11-23 04:28:42,dv3,off,950,"Замарстинівська, 55г"
2025-11-23 04:29:34,dv3,on,60,"Замарстинівська, 55г"
2025-11-23 04:34:52,dv3,off,950,"Замарстинівська, 55г"
2025-11-23 04:35:53,dv3,on,60,"Замарстинівська, 55г"
2025-11-23 04:40:44,dv3,off,950,"Замарстинівська, 55г"
2025-11-23 04:41:29,dv3,on,60,"Замарстинівська, 55г"
2025-11-23 04:45:36,dv3,off,950,"Замарстинівська, 55г"
2025-11-23 04:46:33,dv3,on,60,"Замарстинівська, 55г"
2025-11-23 04:51:37,dv3,off,950,"Замарстинівська, 55г"
2025-11-23 04:52:43,dv3,on,60,"Замарстинівська, 55г"
2025-11-23 04:57:25,dv3,off,950,"Замарстинівська, 55г"
2025-11-23 04:58:19,dv3,on,60,"Замарстинівська, 55г"
2025-11-23 05:02:44,dv3,off,950,"Замарстинівська, 55г"
2025-11-23 05:03:35,dv3,on,60,"Замарстинівська, 55г"
2025-11-23 05:08:29,dv3,off,950,"Замарстинівська, 55г"
2025-11-23 05:09:15,dv3,on,60,"Замарстинівська, 55г"
2025-11-23 05:13:36,dv3,off,950,"Замарстинівська, 55г"
2025-11-23 05:14:34,dv3,on,60,"Замарстинівська, 55г"
2025-11-23 05:19:17,dv3,off,950,"Замарстинівська, 55г"
2025-11-23 05:20:11,dv3,on,60,"Замарстинівська, 55г"
2025-11-23 05:25:41,dv3,off,950,"Замарстинівська, 55г"
2025-11-23 05:26:41,dv3,on,60,"Замарстинівська, 55г"
2025-11-23 05:31:17,dv3,off,950,"Замарстинівська, 55г"
2025-11-23 05:32:11,dv3,on,60,"Замарстинівська, 55г"
2025-11-23 05:36:58,dv3,off,950,"Замарстинівська, 55г"
2025-11-23 05:37:49,dv3,on,60,"Замарстинівська, 55г"
2025-11-23 05:42:07,dv3,off,950,"Замарстинівська, 55г"
2025-11-23 05:42:59,dv3,on,60,"Замарстинівська, 55г"
2025-11-23 05:48:02,dv3,off,950,"Замарстинівська, 55г"
2025-11-23 05:48:59,dv3,on,60,"Замарстинівська, 55г"
2025-11-23 05:53:41,dv3,off,950,"Замарстинівська, 55г"
2025-11-23 05:54:33,dv3,on,60,"Замарстинівська, 55г"
2025-11-23 05:59:06,dv3,off,950,"Замарстинівська, 55г"
2025-11-23 06:00:00,dv3,on,60,"Замарстинівська, 55г"
2025-11-23 06:05:19,dv3,off,950,"Замарстинівська, 55г"
2025-11-23 06:06:16,dv3,on,60,"Замарстинівська, 55г"
2025-11-23 06:10:26,dv3,off,950,"Замарстинівська, 55г"
2025-11-23 06:11:13,dv3,on,60,"Замарстинівська, 55г"
2025-11-23 06:15:56,dv3,off,950,"Замарстинівська, 55г"
2025-11-23 06:16:50,dv3,on,60,"Замарстинівська, 55г"
2025-11-23 06:22:15,dv3,off,950,"Замарстинівська, 55г"
2025-11-23 06:23:15,dv3,on,60,"Замарстинівська, 55г"
2025-11-23 06:27:46,dv3,off,950,"Замарстинівська, 55г"
2025-11-23 06:28:37,dv3,on,60,"Замарстинівська, 55г"
2025-11-23 06:33:32,dv3,off,950,"Замарстинівська, 55г"
2025-11-23 06:34:32,dv3,on,60,"Замарстинівська, 55г"
2025-11-23 06:39:17,dv3,off,950,"Замарстинівська, 55г"
2025-11-23 06:40:11,dv3,on,60,"Замарстинівська, 55г"
2025-11-23 06:44:51,dv3,off,950,"Замарстинівська, 55г"
2025-11-23 06:45:48,dv3,on,60,"Замарстинівська, 55г"
