Дата,Датчик,Стан,Апарат
2025-11-23 09:31:17,dv6,off,"просп.В.Чорновола, 101"
2025-11-23 09:31:01,dv6,on,"просп.В.Чорновола, 101"
2025-11-23 09:20:03,dv6,off,"Брюховичі Івасюка, 1"
2025-11-23 09:19:24,dv6,on,"Брюховичі Івасюка, 1"
2025-11-23 09:08:47,dv6,off,"Тернопільська, 8"
2025-11-23 09:08:23,dv6,off,"Веливока, 9"
2025-11-23 09:08:11,dv6,on,"Тернопільська, 8"
2025-11-23 09:07:44,dv6,on,"Веливока, 9"
2025-11-23 08:55:09,dv6,off,"Брюховичі Івасюка, 1"
2025-11-23 08:54:29,dv6,on,"Брюховичі Івасюка, 1"
2025-11-23 08:49:43,dv6,off,"В.Великого, 75"
2025-11-23 08:49:42,dv6,off,"В.Великого, 75"
2025-11-23 08:48:10,dv6,on,"В.Великого, 75"
2025-11-23 08:34:37,dv6,off,"Князя Романа, 9"
2025-11-23 08:34:10,dv6,on,"Князя Романа, 9"
2025-11-23 08:31:02,dv6,off,"Брюховичі Івасюка, 1"
*  2025-11-23 08:30:22  *,dv6,on,"Брюховичі Івасюка, 1"
2025-11-23 08:06:52,dv6,off,"Брюховичі Івасюка, 1"
2025-11-23 08:06:13,dv6,on,"Брюховичі Івасюка, 1"
2025-11-23 07:59:49,dv6,off,"Хмельницького, 76"
2025-11-23 07:57:10,dv6,off,"Хмельницького, 76"
2025-11-23 07:42:33,dv6,off,"Брюховичі Івасюка, 1"
2025-11-23 07:41:54,dv6,on,"Брюховичі Івасюка, 1"
2025-11-23 07:15:21,dv6,off,"Брюховичі Івасюка, 1"
2025-11-23 07:14:41,dv6,on,"Брюховичі Івасюка, 1"
2025-11-23 06:56:23,dv6,off,"Угорська, 12"
2025-11-23 06:55:39,dv6,on,"Угорська, 12"
*  2025-11-23 06:51:03  *,dv6,off,"Брюховичі Івасюка, 1"
2025-11-23 06:50:24,dv6,on,"Брюховичі Івасюка, 1"
2025-11-23 06:34:47,dv6,off,"Грінченка, 6"
2025-11-23 06:34:31,dv6,on,"Грінченка, 6"
2025-11-23 06:29:19,dv6,off,"Ніжинська, 16"
2025-11-23 06:28:37,dv6,on,"Ніжинська, 16"
2025-11-23 06:26:02,dv6,off,"Брюховичі Івасюка, 1"
2025-11-23 06:25:24,dv6,on,"Брюховичі Івасюка, 1"
2025-11-23 06:01:53,dv6,off,"Брюховичі Івасюка, 1"
2025-11-23 06:01:14,dv6,on,"Брюховичі Івасюка, 1"
2025-11-23 05:44:06,dv6,off,"Хмельницького, 76"
2025-11-23 05:43:11,dv6,off,"просп.В.Чорновола, 101"
2025-11-23 05:43:05,dv6,on,"просп.В.Чорновола, 101"
2025-11-23 05:37:53,dv6,off,"Брюховичі Івасюка, 1"
2025-11-23 05:37:14,dv6,on,"Брюховичі Івасюка, 1"
2025-11-23 05:16:33,dv6,off,"Пулюя, 29"
2025-11-23 05:11:58,dv6,off,"Брюховичі Івасюка, 1"
2025-11-23 05:11:19,dv6,on,"Брюховичі Івасюка, 1"
2025-11-23 05:10:47,dv6,off,"Пулюя, 29"
2025-11-23 05:00:48,dv6,off,"Пулюя, 29"
2025-11-23 04:52:56,dv6,off,"Пулюя, 29"
2025-11-23 04:47:40,dv6,off,"Брюховичі Івасюка, 1"
2025-11-23 04:47:01,dv6,on,"Брюховичі Івасюка, 1"
2025-11-23 04:40:12,dv6,off,"Пулюя, 29"
2025-11-23 04:22:18,dv6,off,"Брюховичі Івасюка, 1"
2025-11-23 04:21:39,dv6,on,"Брюховичі Івасюка, 1"
2025-11-23 04:09:25,dv6,off,"Пулюя, 29"
2025-11-23 03:58:14,dv6,off,"Брюховичі Івасюка, 1"
2025-11-23 03:57:36,dv6,on,"Брюховичі Івасюка, 1"
2025-11-23 03:32:05,dv6,off,"Брюховичі Івасюка, 1"
2025-11-23 03:31:26,dv6,on,"Брюховичі Івасюка, 1"
2025-11-23 03:08:19,dv6,off,"Брюховичі Івасюка, 1"
2025-11-23 03:07:31,dv6,on,"Брюховичі Івасюка, 1"
2025-11-23 02:45:16,dv6,off,"Брюховичі Івасюка, 1"
2025-11-23 02:44:37,dv6,on,"Брюховичі Івасюка, 1"
2025-11-23 02:19:13,dv6,off,"Брюховичі Івасюка, 1"
2025-11-23 02:18:34,dv6,on,"Брюховичі Івасюка, 1"
2025-11-23 01:58:33,dv6,off,"Ніжинська, 16"
2025-11-23 01:57:54,dv6,on,"Ніжинська, 16"
2025-11-23 01:54:45,dv6,off,"Брюховичі Івасюка, 1"
2025-11-23 01:54:06,dv6,on,"Брюховичі Івасюка, 1"
2025-11-23 01:37:53,dv6,off,"Грінченка, 6"
2025-11-23 01:37:35,dv6,on,"Грінченка, 6"
2025-11-23 01:29:27,dv6,off,"Брюховичі Івасюка, 1"
2025-11-23 01:28:48,dv6,on,"Брюховичі Івасюка, 1"
2025-11-23 01:16:59,dv6,off,"Грінченка, 6"
2025-11-23 01:16:40,dv6,on,"Грінченка, 6"
2025-11-23 01:02:16,dv6,off,"Брюховичі Івасюка, 1"
*  2025-11-23 01:01:37  *,dv6,on,"Брюховичі Івасюка, 1"
2025-11-23 00:56:41,dv6,off,"Грінченка, 6"
2025-11-23 00:56:23,dv6,on,"Грінченка, 6"
2025-11-23 00:38:42,dv6,off,"Грінченка, 6"
2025-11-23 00:38:23,dv6,on,"Грінченка, 6"
2025-11-23 00:36:09,dv6,off,"Брюховичі Івасюка, 1"
2025-11-23 00:35:30,dv6,on,"Брюховичі Івасюка, 1"
2025-11-23 00:21:07,dv6,off,"Грінченка, 6"
2025-11-23 00:20:48,dv6,on,"Грінченка, 6"
2025-11-23 00:11:02,dv6,off,"Брюховичі Івасюка, 1"
2025-11-23 00:10:24,dv6,on,"Брюховичі Івасюка, 1"
2025-11-23 00:02:44,dv6,off,"Грінченка, 6"
2025-11-23 00:02:26,dv6,on,"Грінченка, 6"
