id,adress,dv2day,dv2week,dv2moun,dv1r,dv2r,dv3r,dv6raz,dv6time,Sred,posl_znach,pokazat.skoros,TDS,TDSdata
267,0_Cards,,,,nerabotaet,nerabotaet,nerabotaet,0,,,,,Нет данных,Нет данных
266,0_Soliton_net,,,,nerabotaet,nerabotaet,nerabotaet,0,,,,,Нет данных,Нет данных
342,1_002,,,,nerabotaet,nerabotaet,nerabotaet,0,,,,,Нет данных,Нет данных
345,1_Water1,,5,6,nerabotaet,nerabotaet,nerabotaet,0,,,,,Нет данных,Нет данных
153,"Антонича, 6",,,,rabotaet,nerabotaet,rabotaet,0,,10.95,10.6,0.35,14,2025-11-01
240,"Багряного, 39",,1,10,rabotaet,rabotaet,rabotaet,0,,6.7,6.7,0.0,17,2025-10-27
164,"Бандери, 69",,,,rabotaet,nerabotaet,rabotaet,0,,24.3,24.3,0.0,3,2025-10-29
297,"Біберовича, 11",,,3,nerabotaet,nerabotaet,rabotaet,0,,,,,48,2025-10-24
190,"Братів Міхновських, 23",7,14,41,rabotaet,rabotaet,rabotaet,0,,11.5,11.5,0.0,5,2025-09-30
236,"Брюховицька, 143",,,6,rabotaet,nerabotaet,rabotaet,0,,19.2,19.2,0.0,14,2025-10-24
156,"Брюховичі Івасюка, 1",1,5,18,nerabotaet,rabotaet,nerabotaet,20,,,,,23,2025-10-24
243,"Брюховичі Львівська, 92",,,3,rabotaet,nerabotaet,rabotaet,0,,,,,7,2025-10-24
344,"Брюховичі, 1а",,,1,nerabotaet,nerabotaet,rabotaet,0,,,,,4,2025-10-24
179,"В.Великого, 1",,,,rabotaet,nerabotaet,rabotaet,0,,32.7,32.7,0.0,5,2025-10-27
18,"В.Великого, 103",,,,rabotaet,nerabotaet,rabotaet,0,,3.0,3.0,0.0,14,2025-11-03
116,"В.Великого, 35а",,,,rabotaet,nerabotaet,rabotaet,0,,22.6,22.6,0.0,6,2025-10-27
221,"В.Великого, 75",,8,29,rabotaet,rabotaet,rabotaet,1,,4.3,4.3,0.0,40,2025-11-06
254,"Вашингтона, 4в",,,,rabotaet,nerabotaet,rabotaet,0,,27.2,27.2,0.0,22,2025-10-31
