id,adress,dv2day,dv2week,dv2moun,dv1r,dv2r,dv3r
267,0_Cards,,,,nerabotaet,nerabotaet,nerabotaet
266,0_Soliton_net,,,,nerabotaet,nerabotaet,nerabotaet
342,1_002,,,,nerabotaet,nerabotaet,nerabotaet
345,1_Water1,,5,6,nerabotaet,nerabotaet,nerabotaet
153,"Антонича, 6",,,,rabotaet,nerabotaet,rabotaet
240,"Багряного, 39",,1,10,rabotaet,rabotaet,rabotaet
164,"Бандери, 69",,,,rabotaet,nerabotaet,rabotaet
297,"Біберовича, 11",,,3,nerabotaet,nerabotaet,rabotaet
190,"Братів Міхновських, 23",7,14,41,rabotaet,rabotaet,rabotaet
236,"Брюховицька, 143",,,6,rabotaet,nerabotaet,rabotaet
156,"Брюховичі Івасюка, 1",1,5,18,nerabotaet,rabotaet,nerabotaet
243,"Брюховичі Львівська, 92",,,3,rabotaet,nerabotaet,rabotaet
344,"Брюховичі, 1а",,,1,nerabotaet,nerabotaet,rabotaet
179,"В.Великого, 1",,,,rabotaet,nerabotaet,rabotaet
18,"В.Великого, 103",,,,rabotaet,nerabotaet,rabotaet
116,"В.Великого, 35а",,,,rabotaet,nerabotaet,rabotaet
221,"В.Великого, 75",,8,29,rabotaet,rabotaet,rabotaet
254,"Вашингтона, 4в",,,,rabotaet,nerabotaet,rabotaet
327,"Веливока, 9",,,1,rabotaet,nerabotaet,rabotaet
107,"Ветеранів, 5",,,,nerabotaet,nerabotaet,rabotaet
202,"Виговського, 5",,,,rabotaet,nerabotaet,rabotaet
52,"Виговського, 5б",,,4,rabotaet,rabotaet,rabotaet
205,"Винники, 10б",,,,rabotaet,nerabotaet,rabotaet
126,"Винники, 10",,,3,rabotaet,nerabotaet,rabotaet
251,"Винники, 53",,7,13,rabotaet,nerabotaet,rabotaet
154,"Гайдамацька, 9а",4,6,6,rabotaet,rabotaet,rabotaet
340,"Гашека, 17",,,,rabotaet,nerabotaet,rabotaet
178,"Генерала Тарнавського, 104б",,1,1,rabotaet,nerabotaet,rabotaet
305,"Гориня, 39",,,,nerabotaet,nerabotaet,nerabotaet
212,"Городоцька, 213",,,,rabotaet,nerabotaet,rabotaet
269,"Городоцька, 226а",,,,rabotaet,nerabotaet,rabotaet
268,"Городоцька, 45",,,3,rabotaet,rabotaet,rabotaet
51,"Грінченка, 6",,,,rabotaet,rabotaet,rabotaet
195,"Грушевського, 7",,2,3,rabotaet,nerabotaet,rabotaet
114,"Демнянська, 26",,,,nerabotaet,nerabotaet,nerabotaet
241,"Дзиндри, 1а",,,,rabotaet,nerabotaet,rabotaet
226,"Дністерська, 1",,4,4,nerabotaet,nerabotaet,rabotaet
55,"Довбуша, 1",3,3,5,rabotaet,rabotaet,rabotaet
87,"Довженка, 5",,,,rabotaet,nerabotaet,rabotaet
118,"Драгана, 4б",,,,rabotaet,nerabotaet,rabotaet
108,"Дунайська, 7",,4,4,rabotaet,nerabotaet,rabotaet
234,"Залізнична, 21",,15,29,nerabotaet,nerabotaet,nerabotaet
180,"Замарстинівська, 170б",,,,rabotaet,rabotaet,rabotaet
258,"Замарстинівська, 170н",,,,rabotaet,nerabotaet,rabotaet
225,"Замарстинівська, 55г",,,,nerabotaet,nerabotaet,rabotaet
172,"Зарицьких, 5",,,,rabotaet,nerabotaet,rabotaet
326,"Зелена, 17",,1,3,nerabotaet,nerabotaet,rabotaet
165,"Зелена, 204",,4,23,rabotaet,nerabotaet,rabotaet
280,"Зелена, 44",,,2,nerabotaet,nerabotaet,nerabotaet
57,"Зимна Вода, 9",,,,nerabotaet,nerabotaet,rabotaet
209,"Золота, 25",,,8,rabotaet,nerabotaet,rabotaet
282,"Йосифа Сліпого, 22",,,6,rabotaet,nerabotaet,rabotaet
