device_id,address,date,card_id,sum,banknotes,coins,descr
153,"Антонича, 6 Близенько 2.00 грн",2025-11-01 17:08:39,14147,0.00,2168.00,0.00,Р СѓСЃР»Р°РЅ  - 
153,"Антонича, 6 Близенько 2.00 грн",2025-11-01 17:08:47,14147,0.00,0.00,1477.00,Р СѓСЃР»Р°РЅ  - 
240,"Багряного, 39 Близенько 2.00 грн",2025-10-27 14:15:48,14147,0.00,2470.00,0.00,Р СѓСЃР»Р°РЅ  - 
240,"Багряного, 39 Близенько 2.00 грн",2025-10-27 14:15:57,14147,0.00,0.00,1949.00,Р СѓСЃР»Р°РЅ  - 
164,"Бандери, 69 Близенько 2.00 грн",2025-10-29 19:36:35,23129,0.00,2610.00,0.00,Р†РіРѕСЂ  - 
164,"Бандери, 69 Близенько 2.00 грн",2025-10-29 19:36:41,23129,0.00,0.00,2979.50,Р†РіРѕСЂ  - 
297,"Біберовича, 11 Близенько 1.50 грн",2025-10-24 15:46:44,14147,0.00,1489.00,0.00,Р СѓСЃР»Р°РЅ  - 
297,"Біберовича, 11 Близенько 1.50 грн",2025-10-24 15:46:50,14147,0.00,0.00,1940.00,Р СѓСЃР»Р°РЅ  - 
190,"Братів Міхновських,  23  Близенько 2.00 грн",2025-10-29 19:43:17,24662,0.00,3756.00,0.00,Р”РјРёС‚СЂРѕ  - 
190,"Братів Міхновських,  23  Близенько 2.00 грн",2025-10-29 19:43:27,24662,0.00,0.00,4689.50,Р”РјРёС‚СЂРѕ  - 
190,"Братів Міхновських,  23  Близенько 2.00 грн",2025-11-12 14:21:41,24662,0.00,3690.00,0.00,Р”РјРёС‚СЂРѕ  - 
190,"Братів Міхновських,  23  Близенько 2.00 грн",2025-11-12 14:21:49,24662,0.00,0.00,3181.00,Р”РјРёС‚СЂРѕ  - 
236,"Брюховицька, 143 Близенько 2.00 грн",2025-10-24 14:59:18,14147,0.00,4456.00,0.00,Р СѓСЃР»Р°РЅ  - 
236,"Брюховицька, 143 Близенько 2.00 грн",2025-10-24 14:59:24,14147,0.00,0.00,1336.00,Р СѓСЃР»Р°РЅ  - 
156,"Брюховичі Івасюка, 1 Близенько 2.00 грн",2025-10-24 14:31:17,14147,0.00,3980.00,0.00,Р СѓСЃР»Р°РЅ  - 
156,"Брюховичі Івасюка, 1 Близенько 2.00 грн",2025-10-24 14:31:28,14147,0.00,0.00,1854.00,Р СѓСЃР»Р°РЅ  - 
243,"Брюховичі Львівська, 92 Близенько 2.00 грн",2025-10-24 13:39:10,14147,0.00,2734.00,0.00,Р СѓСЃР»Р°РЅ  - 
243,"Брюховичі Львівська, 92 Близенько 2.00 грн",2025-10-24 13:39:17,14147,0.00,0.00,3299.00,Р СѓСЃР»Р°РЅ  - 
