device_id,address,date,card_id,sum,banknotes,coins,descr,tech
153,"Антонича, 6 Близенько 2.00 грн",2025-11-01 17:08:39,14147,0.0,2168.0,0.0,ruslan,ruslan
153,"Антонича, 6 Близенько 2.00 грн",2025-11-01 17:08:47,14147,0.0,0.0,1477.0,ruslan,ruslan
240,"Багряного, 39 Близенько 2.00 грн",2025-10-27 14:15:48,14147,0.0,2470.0,0.0,ruslan,ruslan
240,"Багряного, 39 Близенько 2.00 грн",2025-10-27 14:15:57,14147,0.0,0.0,1949.0,ruslan,ruslan
164,"Бандери, 69 Близенько 2.00 грн",2025-10-29 19:36:35,23129,0.0,2610.0,0.0,igor,igor
164,"Бандери, 69 Близенько 2.00 грн",2025-10-29 19:36:41,23129,0.0,0.0,2979.5,igor,igor
297,"Біберовича, 11 Близенько 1.50 грн",2025-10-24 15:46:44,14147,0.0,1489.0,0.0,ruslan,ruslan
297,"Біберовича, 11 Близенько 1.50 грн",2025-10-24 15:46:50,14147,0.0,0.0,1940.0,ruslan,ruslan
190,"Братів Міхновських,  23  Близенько 2.00 грн",2025-10-29 19:43:17,24662,0.0,3756.0,0.0,dmutro,dmutro
190,"Братів Міхновських,  23  Близенько 2.00 грн",2025-10-29 19:43:27,24662,0.0,0.0,4689.5,dmutro,dmutro
190,"Братів Міхновських,  23  Близенько 2.00 грн",2025-11-12 14:21:41,24662,0.0,3690.0,0.0,dmutro,dmutro
190,"Братів Міхновських,  23  Близенько 2.00 грн",2025-11-12 14:21:49,24662,0.0,0.0,3181.0,dmutro,dmutro
236,"Брюховицька, 143 Близенько 2.00 грн",2025-10-24 14:59:18,14147,0.0,4456.0,0.0,ruslan,ruslan
236,"Брюховицька, 143 Близенько 2.00 грн",2025-10-24 14:59:24,14147,0.0,0.0,1336.0,ruslan,ruslan
156,"Брюховичі Івасюка, 1 Близенько 2.00 грн",2025-10-24 14:31:17,14147,0.0,3980.0,0.0,ruslan,ruslan
156,"Брюховичі Івасюка, 1 Близенько 2.00 грн",2025-10-24 14:31:28,14147,0.0,0.0,1854.0,ruslan,ruslan
243,"Брюховичі Львівська, 92 Близенько 2.00 грн",2025-10-24 13:39:10,14147,0.0,2734.0,0.0,ruslan,ruslan
243,"Брюховичі Львівська, 92 Близенько 2.00 грн",2025-10-24 13:39:17,14147,0.0,0.0,3299.0,ruslan,ruslan
344,"Брюховичі, Весняна, 1а 1.50 грн",2025-10-24 13:14:26,14147,0.0,771.0,0.0,ruslan,ruslan
344,"Брюховичі, Весняна, 1а 1.50 грн",2025-10-24 13:14:36,14147,0.0,0.0,756.5,ruslan,ruslan
179,"В.Великого, 1 Близенько 2.00 грн",2025-10-27 08:02:30,24662,0.0,1993.0,0.0,dmutro,dmutro
179,"В.Великого, 1 Близенько 2.00 грн",2025-10-27 08:02:39,24662,0.0,0.0,2194.0,dmutro,dmutro
18,"В.Великого, 103  Близенько 1.50 грн",2025-11-03 12:29:28,0,0.0,2477.0,0.0,dmutro,dmutro
18,"В.Великого, 103  Близенько 1.50 грн",2025-11-03 12:29:37,0,0.0,0.0,34.0,dmutro,dmutro
116,"В.Великого, 35а Близенько 2.00 грн",2025-10-27 13:34:42,24662,0.0,1961.0,0.0,dmutro,dmutro
116,"В.Великого, 35а Близенько 2.00 грн",2025-10-27 13:34:57,24662,0.0,0.0,2276.0,dmutro,dmutro
221,"В.Великого, 75  Близенько 1.50 грн",2025-11-03 13:01:36,0,0.0,3824.0,0.0,dmutro,dmutro
254,"Вашингтона, 4в Близенько 2.00 грн",2025-10-31 15:48:31,14147,0.0,2808.0,0.0,ruslan,ruslan
254,"Вашингтона, 4в Близенько 2.00 грн",2025-10-31 15:48:44,14147,0.0,0.0,2049.0,ruslan,ruslan
327,"Веливока, 9 Близенько 2.00 грн",2025-10-25 14:17:41,23129,0.0,3039.0,0.0,igor,igor
327,"Веливока, 9 Близенько 2.00 грн",2025-10-25 14:17:54,23129,0.0,0.0,3957.5,igor,igor
327,"Веливока, 9 Близенько 2.00 грн",2025-11-07 18:47:08,23129,0.0,2884.0,0.0,igor,igor
327,"Веливока, 9 Близенько 2.00 грн",2025-11-07 18:47:13,23129,0.0,0.0,3911.0,igor,igor
327,"Веливока, 9 Близенько 2.00 грн",2025-11-15 16:18:53,23129,0.0,0.0,2114.0,igor,igor
327,"Веливока, 9 Близенько 2.00 грн",2025-11-15 16:19:00,23129,0.0,1354.0,0.0,igor,igor
107,"Ветеранів, 5 ОСББ  1.50 грн",2025-10-27 12:25:47,0,0.0,833.0,0.0,igor,igor
107,"Ветеранів, 5 ОСББ  1.50 грн",2025-10-27 12:25:50,0,0.0,0.0,569.64,igor,igor
107,"Ветеранів, 5 ОСББ  1.50 грн",2025-11-19 20:37:06,0,0.0,636.0,0.0,igor,igor
107,"Ветеранів, 5 ОСББ  1.50 грн",2025-11-19 20:37:11,0,0.0,0.0,239.53,igor,igor
202,"Виговського, 5 Сімі 2.00 грн",2025-10-27 13:34:43,14147,0.0,2017.0,0.0,ruslan,ruslan
202,"Виговського, 5 Сімі 2.00 грн",2025-10-27 13:34:49,14147,0.0,0.0,1660.0,ruslan,ruslan
52,"Виговського, 5б Близенько 1.50 грн",2025-10-27 13:53:30,0,0.0,1451.0,0.0,ruslan,ruslan
52,"Виговського, 5б Близенько 1.50 грн",2025-10-27 13:53:35,0,0.0,0.0,4.5,ruslan,ruslan
205,"Винники, Винна гора, 10б  Близенько 2.00 грн",2025-10-28 16:49:39,23129,0.0,7949.0,0.0,igor,igor
205,"Винники, Винна гора, 10б  Близенько 2.00 грн",2025-10-28 16:49:45,23129,0.0,0.0,2451.0,igor,igor
205,"Винники, Винна гора, 10б  Близенько 2.00 грн",2025-11-15 15:00:27,23129,0.0,3641.0,0.0,igor,igor
205,"Винники, Винна гора, 10б  Близенько 2.00 грн",2025-11-15 15:00:32,23129,0.0,0.0,2461.0,igor,igor
126,"Винники, Сахарова, 10 Близенько 2.00 грн",2025-10-25 16:25:26,23129,0.0,2157.0,0.0,igor,igor
126,"Винники, Сахарова, 10 Близенько 2.00 грн",2025-10-25 16:25:34,23129,0.0,0.0,1055.5,igor,igor
126,"Винники, Сахарова, 10 Близенько 2.00 грн",2025-11-15 15:40:57,23129,0.0,5376.0,0.0,igor,igor
126,"Винники, Сахарова, 10 Близенько 2.00 грн",2025-11-15 15:41:03,23129,0.0,0.0,3057.0,igor,igor
251,"Винники, Франка, 53 Близенько 1.50 грн",2025-10-28 19:00:13,0,0.0,124.0,0.0,igor,igor
251,"Винники, Франка, 53 Близенько 1.50 грн",2025-10-28 19:00:17,0,0.0,0.0,16.28,igor,igor
154,"Гайдамацька, 9а Близенько 2.00 грн",2025-10-27 19:52:55,0,0.0,2804.0,0.0,igor,igor
154,"Гайдамацька, 9а Близенько 2.00 грн",2025-10-27 19:53:01,0,0.0,0.0,2625.0,igor,igor
154,"Гайдамацька, 9а Близенько 2.00 грн",2025-11-13 19:41:03,23129,0.0,2929.0,0.0,igor,igor
154,"Гайдамацька, 9а Близенько 2.00 грн",2025-11-13 19:41:19,23129,0.0,0.0,3020.5,igor,igor
340,"Гашека, 17 Близенько 1.50 грн",2025-10-24 18:51:15,24662,0.0,1035.0,0.0,dmutro,dmutro
340,"Гашека, 17 Близенько 1.50 грн",2025-10-24 18:51:22,24662,0.0,0.0,1991.0,dmutro,dmutro
178,"Генерала Тарнавського, 104б Близенько 2.00 грн",2025-10-28 16:44:28,14147,0.0,7064.0,0.0,ruslan,ruslan
178,"Генерала Тарнавського, 104б Близенько 2.00 грн",2025-10-28 16:44:37,14147,0.0,0.0,8986.5,ruslan,ruslan
305,"Гориня, 39 Близенько 1.50 грн",2025-10-31 18:03:37,14147,0.0,604.0,0.0,ruslan,ruslan
305,"Гориня, 39 Близенько 1.50 грн",2025-10-31 18:03:49,14147,0.0,0.0,615.5,ruslan,ruslan
212,"Городоцька, 213 Близенько 1.50 грн",2025-10-27 13:06:37,14147,0.0,1919.0,0.0,ruslan,ruslan
212,"Городоцька, 213 Близенько 1.50 грн",2025-10-27 13:06:43,14147,0.0,0.0,2293.0,ruslan,ruslan
269,"Городоцька, 226а Близенько 2.00 грн",2025-10-25 11:48:23,14147,0.0,1643.0,0.0,ruslan,ruslan
269,"Городоцька, 226а Близенько 2.00 грн",2025-10-25 11:48:28,14147,0.0,0.0,2825.0,ruslan,ruslan
268,"Городоцька, 45 Близенько 2.00 грн",2025-10-31 18:09:50,23129,0.0,2687.0,0.0,igor,igor
268,"Городоцька, 45 Близенько 2.00 грн",2025-10-31 18:09:55,23129,0.0,0.0,4124.0,igor,igor
51,"Грінченка, 6 Близенько 1.50 грн",2025-10-22 09:58:04,3051,0.0,0.0,418.67,igor,igor
51,"Грінченка, 6 Близенько 1.50 грн",2025-10-22 09:58:08,3051,0.0,894.0,0.0,igor,igor
51,"Грінченка, 6 Близенько 1.50 грн",2025-11-08 20:19:17,23129,0.0,391.0,0.0,igor,igor
51,"Грінченка, 6 Близенько 1.50 грн",2025-11-08 20:19:21,23129,0.0,0.0,638.53,igor,igor
195,"Грушевського, 7/9 Близенько 2.00 грн",2025-10-22 20:46:03,23129,0.0,2744.0,0.0,igor,igor
195,"Грушевського, 7/9 Близенько 2.00 грн",2025-10-22 20:46:10,23129,0.0,0.0,3120.5,igor,igor
195,"Грушевського, 7/9 Близенько 2.00 грн",2025-11-11 21:40:55,23129,0.0,2126.0,0.0,igor,igor
195,"Грушевського, 7/9 Близенько 2.00 грн",2025-11-11 21:41:01,23129,0.0,0.0,2449.0,igor,igor
114,"Демнянська, 26 Близенько 1.50 грн",2025-10-25 16:15:59,14147,0.0,293.0,0.0,ruslan,ruslan
114,"Демнянська, 26 Близенько 1.50 грн",2025-10-25 16:16:16,14147,0.0,0.0,286.5,ruslan,ruslan
241,"Дзиндри, 1а  Близенько 2.00 грн",2025-11-03 14:16:41,24662,0.0,2274.0,0.0,dmutro,dmutro
241,"Дзиндри, 1а  Близенько 2.00 грн",2025-11-03 14:16:50,24662,0.0,0.0,3010.5,dmutro,dmutro
226,"Дністерська, 1  Близенько 1.50 грн",2025-10-29 17:23:03,14147,0.0,2324.0,0.0,ruslan,ruslan
226,"Дністерська, 1  Близенько 1.50 грн",2025-10-29 17:23:10,14147,0.0,0.0,2881.0,ruslan,ruslan
55,"Довбуша, 1  Товари з Італії 2.00 грн",2025-10-27 18:33:35,23129,0.0,3014.0,0.0,igor,igor
55,"Довбуша, 1  Товари з Італії 2.00 грн",2025-10-27 18:33:40,23129,0.0,0.0,4021.0,igor,igor
55,"Довбуша, 1  Товари з Італії 2.00 грн",2025-11-13 18:51:23,23129,0.0,3313.0,0.0,igor,igor
55,"Довбуша, 1  Товари з Італії 2.00 грн",2025-11-13 18:51:29,23129,0.0,0.0,3566.0,igor,igor
