data,aparat,start,tech,end,kol-time,v_doroge,fir_point,last_point
2025-10-22,"Князя Романа, 9 Близенько 2.00 грн",18:02:09,Ігор,18:08:11,6,0,YES,
2025-10-22,"Князя Романа, 9 Близенько 2.00 грн",18:08:16,Ігор,18:13:29,5,0,,
2025-10-22,"Князя Романа, 9 Близенько 2.00 грн",18:16:10,Ігор,18:21:50,5,2,,
2025-10-22,"Князя Романа, 9 Близенько 2.00 грн",19:35:19,Ігор,19:35:52,0,73,,
2025-10-22,"Князя Романа, 9 Близенько 2.00 грн",20:01:22,Ігор,20:01:26,0,25,,
2025-10-22,"Князя Романа, 9 Близенько 2.00 грн",20:01:56,Ігор,20:04:43,2,0,,
2025-10-22,"Князя Романа, 9 Близенько 2.00 грн",20:25:15,Ігор,20:26:02,0,20,,
2025-10-22,"Князя Романа, 9 Близенько 2.00 грн",20:31:56,Ігор,20:32:22,0,5,,
2025-10-22,"Князя Романа, 9 Близенько 2.00 грн",20:32:34,Ігор,20:33:14,0,0,,
2025-10-22,"Князя Романа, 9 Близенько 2.00 грн",20:33:19,Ігор,20:33:23,0,0,,
2025-10-22,"Грушевського, 7/9 Близенько 2.00 грн",20:42:55,Ігор,20:45:58,3,9,,
2025-10-22,"Грушевського, 7/9 Близенько 2.00 грн",20:46:00,Ігор,20:46:54,0,0,,
2025-10-22,"Грушевського, 7/9 Близенько 2.00 грн",20:50:30,Ігор,20:50:44,0,3,,YES
2025-10-22,"Марка Вовчка, 24 Чарка 2.00 грн",11:08:54,Дмитро,11:09:04,0,0,YES,
2025-10-22,"Наукова, 96 Близенько 1.50 грн",13:24:28,Дмитро,13:24:31,0,135,,YES
2025-10-22,"Генерала Тарнавського, 104б Близенько 2.00 грн",13:19:01,Руслан,13:19:08,0,0,YES,
2025-10-22,"Генерала Тарнавського, 104б Близенько 2.00 грн",13:37:06,Руслан,13:37:57,0,17,,
2025-10-22,"Генерала Тарнавського, 104б Близенько 2.00 грн",13:45:57,Руслан,13:46:00,0,8,,
2025-10-22,"Стрийська, 51 Близенько 2.00 грн",15:06:23,Руслан,15:06:26,0,80,,
2025-10-22,"Стрийська, 51 Близенько 2.00 грн",15:07:21,Руслан,15:07:24,0,0,,
2025-10-22,"Стрийська, 51 Близенько 2.00 грн",15:09:48,Руслан,15:11:38,1,2,,
2025-10-22,"Стрийська, 51 Близенько 2.00 грн",15:11:41,Руслан,15:16:46,5,0,,
2025-10-22,"Стрийська, 51 Близенько 2.00 грн",15:24:45,Руслан,15:24:49,0,7,,
2025-10-22,"Стрийська, 51 Близенько 2.00 грн",15:30:40,Руслан,15:30:42,0,5,,
2025-10-22,"Стрийська, 51 Близенько 2.00 грн",15:33:12,Руслан,15:33:14,0,2,,
2025-10-22,"Стрийська, 51 Близенько 2.00 грн",15:58:06,Руслан,15:58:14,0,24,,
2025-10-22,"Стрийська, 51 Близенько 2.00 грн",16:00:03,Руслан,16:00:56,0,1,,
2025-10-22,"Стрийська, 51 Близенько 2.00 грн",16:04:47,Руслан,16:04:50,0,3,,YES
2025-10-22,"Шевченка, 31б Близенько 2.00 грн",08:52:56,,08:53:26,0,0,,
2025-10-22,"Грінченка, 6 Близенько 1.50 грн",09:57:48,,09:58:13,0,0,,
2025-10-22,"Шевченка, 31б Близенько 2.00 грн",10:06:14,,10:08:01,1,0,,
2025-10-22,"Шевченка, 31б Близенько 2.00 грн",10:08:07,,10:09:20,1,0,,
2025-10-22,"Шевченка, 31б Близенько 2.00 грн",10:09:32,,10:10:22,0,0,,
2025-10-22,"Шевченка, 31б Близенько 2.00 грн",10:10:35,,10:12:11,1,0,,
2025-10-22,"Шевченка, 31б Близенько 2.00 грн",11:01:07,,11:01:09,0,0,,
2025-10-22,"Шевченка, 31б Близенько 2.00 грн",11:03:13,,11:03:15,0,0,,
2025-10-22,"В.Великого, 75 Близенько 1.50 грн",12:59:50,,12:59:52,0,0,,
2025-10-22,"В.Великого, 75 Близенько 1.50 грн",13:10:02,,13:10:06,0,0,,
2025-10-22,"Замарстинівська, 170б Близенько 2.00 грн",16:44:34,,16:44:55,0,0,,
2025-10-22,"Замарстинівська, 170б Близенько 2.00 грн",16:46:30,,16:46:34,0,0,,
2025-10-23,"Дзиндри, 1а Близенько 2.00 грн",08:56:02,Дмитро,08:56:07,0,1171,YES,
2025-10-23,"Дзиндри, 1а Близенько 2.00 грн",08:58:40,Дмитро,08:58:41,0,2,,
2025-10-23,"Наукова, 10а Близенько 0.50 грн",20:30:28,Дмитро,20:30:30,0,691,,YES
2025-10-23,"Кубійовича, 31 Близенько 2.0",12:15:25,Руслан,12:17:04,1,1210,YES,
2025-10-23,"Кубійовича, 31 Близенько 2.0",12:26:32,Руслан,12:27:14,0,9,,
2025-10-23,"Кубійовича, 31 Близенько 2.0",12:31:29,Руслан,12:31:32,0,4,,
2025-10-23,"Антонича, 6 Близенько 2.00 грн",15:00:55,Руслан,15:05:59,5,149,,
2025-10-23,"Антонича, 6 Близенько 2.00 грн",15:08:17,Руслан,15:10:06,1,2,,YES
2025-10-23,"Федьковича, 24 Близенько 1.50 грн",09:51:55,,09:51:58,0,0,,
2025-10-23,"Федьковича, 24 Близенько 1.50 грн",09:55:07,,09:55:35,0,0,,
2025-10-23,"Федьковича, 24 Близенько 1.50 грн",09:55:40,,09:55:59,0,0,,
2025-10-23,"Федьковича, 24 Близенько 1.50 грн",09:57:17,,09:58:34,1,0,,
2025-10-23,"Федьковича, 24 Близенько 1.50 грн",10:00:04,,10:01:04,1,0,,
2025-10-23,"Федьковича, 24 Близенько 1.50 грн",10:02:40,,10:03:52,1,0,,
2025-10-23,"Пулюя, 29 Близенько 2.00 грн",15:40:01,,15:40:04,0,0,,
2025-10-23,"Пулюя, 29 Близенько 2.00 грн",15:40:11,,15:40:25,0,0,,
2025-10-23,"Пулюя, 29 Близенько 2.00 грн",15:49:56,,15:49:58,0,0,,
2025-10-23,"Пулюя, 40 Близенько 1.50 грн",15:56:09,,15:57:48,1,0,,
2025-10-23,"Пулюя, 40 Близенько 1.50 грн",15:59:19,,15:59:23,0,0,,
2025-10-23,"Багряного, 39 Близенько 2.00 грн",16:28:20,,16:28:30,0,0,,
2025-10-23,"Багряного, 39 Близенько 2.00 грн",16:31:06,,16:31:55,0,0,,
2025-10-23,"Багряного, 39 Близенько 2.00 грн",16:32:03,,16:32:12,0,0,,
2025-10-23,"Багряного, 39 Близенько 2.00 грн",16:33:26,,16:33:40,0,0,,
2025-10-23,"Шевченка, 111 Близенько 1.50 грн",17:55:53,,17:55:57,0,0,,
2025-10-23,"Шевченка, 111 Близенько 1.50 грн",18:02:05,,18:02:08,0,0,,
2025-10-23,"Шевченка, 111 Близенько 1.50 грн",18:02:11,,18:02:15,0,0,,
2025-10-23,"Шевченка, 111 Близенько 1.50 грн",18:02:42,,18:02:46,0,0,,
2025-10-23,"Шевченка, 111 Близенько 1.50 грн",18:03:39,,18:03:42,0,0,,
2025-10-23,"Шевченка, 111 Близенько 1.50 грн",18:04:52,,18:04:56,0,0,,
2025-10-23,"Стрийська, 61 Близенько 1.50 грн",19:01:22,,19:10:03,8,0,,
2025-10-23,"Під Голоском, 24б Близенько 1.50 грн",19:13:12,,19:15:13,2,0,,
2025-10-23,"В.Великого, 103 Близенько 1.50 грн",20:45:56,,20:46:08,0,0,,
2025-10-24,"Франка, 69 Близенько 2.00 грн",12:43:40,Ігор,12:47:12,3,2392,YES,
2025-10-24,"Франка, 69 Близенько 2.00 грн",12:47:50,Ігор,12:49:43,1,0,,
2025-10-24,"Зарицьких, 5 Близенько 2.00 грн",12:52:59,Ігор,13:02:25,9,3,,
2025-10-24,"Зарицьких, 5 Близенько 2.00 грн",13:02:46,Ігор,13:02:58,0,0,,
2025-10-24,"Зарицьких, 5 Близенько 2.00 грн",13:03:00,Ігор,13:03:17,0,0,,YES
2025-10-24,"Суботівська, 7 Близенько 1.50 грн",09:39:08,Дмитро,09:39:13,0,788,YES,
2025-10-24,"Суботівська, 10а Близенько 1.50 грн",10:19:39,Дмитро,10:19:42,0,40,,
2025-10-24,"Гашека, 17 Близенько 1.50 грн",18:51:06,Дмитро,18:55:16,4,511,,
2025-10-24,"Марка Вовчка, 24 Чарка 2.00 грн",21:37:18,Дмитро,21:37:26,0,162,,YES
2025-10-24,"Брюховичі Львівська, 92 Близенько 2.00 грн",13:39:05,Руслан,13:42:36,3,1348,YES,
2025-10-24,"Брюховичі Львівська, 92 Близенько 2.00 грн",13:42:46,Руслан,13:42:49,0,0,,
2025-10-24,"Брюховичі Івасюка, 1 Близенько 2.00 грн",14:13:25,Руслан,14:15:49,2,30,,
2025-10-24,"Брюховичі Івасюка, 1 Близенько 2.00 грн",14:30:50,Руслан,14:31:36,0,15,,
2025-10-24,"Брюховицька, 143 Близенько 2.00 грн",14:57:58,Руслан,14:58:00,0,26,,
2025-10-24,"Брюховицька, 143 Близенько 2.00 грн",14:58:29,Руслан,14:59:35,1,0,,
2025-10-24,"Брюховицька, 143 Близенько 2.00 грн",15:04:49,Руслан,15:04:51,0,5,,
2025-10-24,"Біберовича, 11 Близенько 1.50 грн",15:46:39,Руслан,15:47:09,0,41,,YES
2025-10-24,"Мундяк Марії, 8 Близенько 2.00 грн",09:52:03,,09:54:40,2,0,,
2025-10-24,"Шевченка, 111 Близенько 1.50 грн",16:57:56,,16:58:15,0,0,,
2025-10-24,"Шевченка, 111 Близенько 1.50 грн",17:02:43,,17:02:48,0,0,,
2025-10-24,"Шевченка, 111 Близенько 1.50 грн",17:06:41,,17:06:44,0,0,,
2025-10-25,"Веливока, 9 Близенько 2.00 грн",14:17:36,Ігор,14:24:06,6,1514,YES,
2025-10-25,"Веливока, 9 Близенько 2.00 грн",14:25:42,Ігор,14:31:58,6,1,,
