device_id,address,date,speed
153,"Антонича, 6 Близенько 2.00 грн",2025-11-22,11.3
153,"Антонича, 6 Близенько 2.00 грн",2025-11-23,10.6
240,"Багряного, 39 Близенько 2.00 грн",2025-11-23,6.7
164,"Бандери, 69 Близенько 2.00 грн",2025-11-22,24.3
222,"Бельведерська, 61 Близенько 1.20 грн",2025-11-22,19.0
222,"Бельведерська, 61 Близенько 1.20 грн",2025-11-23,17.6
190,"Братів Міхновських,  23  Близенько 2.00 грн",2025-11-23,11.5
236,"Брюховицька, 143 Близенько 2.00 грн",2025-11-22,19.2
179,"В.Великого, 1 Близенько 2.00 грн",2025-11-22,32.7
18,"В.Великого, 103  Близенько 1.50 грн",2025-11-22,3.0
116,"В.Великого, 35а Близенько 2.00 грн",2025-11-22,22.6
221,"В.Великого, 75  Близенько 1.50 грн",2025-11-22,4.3
254,"Вашингтона, 4в Близенько 2.00 грн",2025-11-22,27.2
327,"Веливока, 9 Близенько 2.00 грн",2025-11-22,55.5
339,"Вербицького, 16  Близенько 1.50 грн",2025-11-22,1.3
52,"Виговського, 5б Близенько 1.50 грн",2025-11-23,9.3
205,"Винники, Винна гора, 10б  Близенько 2.00 грн",2025-11-22,31.7
126,"Винники, Сахарова, 10 Близенько 2.00 грн",2025-11-22,36.1
251,"Винники, Франка, 53 Близенько 1.50 грн",2025-11-22,6.4
215,"Вовчинецька ,194  Близенько 1.50 грн",2025-11-22,20.4
154,"Гайдамацька, 9а Близенько 2.00 грн",2025-11-23,43.3
340,"Гашека, 17 Близенько 1.50 грн",2025-11-22,11.8
325,"Ген Тарнавського, 7б Близенько 2.00 грн",2025-11-22,11.2
178,"Генерала Тарнавського, 104б Близенько 2.00 грн",2025-11-22,47.6
178,"Генерала Тарнавського, 104б Близенько 2.00 грн",2025-11-23,47.6
212,"Городоцька, 213 Близенько 1.50 грн",2025-11-22,14.9
268,"Городоцька, 45 Близенько 2.00 грн",2025-11-22,20.6
268,"Городоцька, 45 Близенько 2.00 грн",2025-11-23,22.2
195,"Грушевського, 7/9 Близенько 2.00 грн",2025-11-22,33.3
241,"Дзиндри, 1а  Близенько 2.00 грн",2025-11-23,14.8
226,"Дністерська, 1  Близенько 1.50 грн",2025-11-23,7.7
