device_id,address,date,tds
153,"Антонича, 6 Близенько 2.00 грн",2025-05-29,8
153,"Антонича, 6 Близенько 2.00 грн",2025-07-07,11
153,"Антонича, 6 Близенько 2.00 грн",2025-09-04,12
153,"Антонича, 6 Близенько 2.00 грн",2025-10-03,15
153,"Антонича, 6 Близенько 2.00 грн",2025-11-01,14
240,"Багряного, 39 Близенько 2.00 грн",2025-07-05,11
240,"Багряного, 39 Близенько 2.00 грн",2025-07-26,13
240,"Багряного, 39 Близенько 2.00 грн",2025-08-27,15
240,"Багряного, 39 Близенько 2.00 грн",2025-09-28,14
240,"Багряного, 39 Близенько 2.00 грн",2025-10-27,17
164,"Бандери, 69 Близенько 2.00 грн",2025-05-30,16
164,"Бандери, 69 Близенько 2.00 грн",2025-06-19,21
164,"Бандери, 69 Близенько 2.00 грн",2025-06-27,21
164,"Бандери, 69 Близенько 2.00 грн",2025-07-21,6
164,"Бандери, 69 Близенько 2.00 грн",2025-08-20,5
164,"Бандери, 69 Близенько 2.00 грн",2025-08-21,3
164,"Бандери, 69 Близенько 2.00 грн",2025-09-12,3
164,"Бандери, 69 Близенько 2.00 грн",2025-09-28,2
164,"Бандери, 69 Близенько 2.00 грн",2025-10-29,3
297,"Біберовича, 11 Близенько 1.50 грн",2025-05-27,41
297,"Біберовича, 11 Близенько 1.50 грн",2025-06-29,44
297,"Біберовича, 11 Близенько 1.50 грн",2025-07-26,45
297,"Біберовича, 11 Близенько 1.50 грн",2025-08-27,46
297,"Біберовича, 11 Близенько 1.50 грн",2025-09-27,47
297,"Біберовича, 11 Близенько 1.50 грн",2025-10-24,48
272,"Білогірська, 3 Близенько 1.50 грн",2025-06-05,24
272,"Білогірська, 3 Близенько 1.50 грн",2025-07-17,38
272,"Білогірська, 3 Близенько 1.50 грн",2025-07-31,41
272,"Білогірська, 3 Близенько 1.50 грн",2025-08-26,35
272,"Білогірська, 3 Близенько 1.50 грн",2025-10-17,30
190,"Братів Міхновських,  23  Близенько 2.00 грн",2025-07-27,10
190,"Братів Міхновських,  23  Близенько 2.00 грн",2025-09-30,5
236,"Брюховицька, 143 Близенько 2.00 грн",2025-06-03,8
236,"Брюховицька, 143 Близенько 2.00 грн",2025-06-26,9
236,"Брюховицька, 143 Близенько 2.00 грн",2025-07-31,10
236,"Брюховицька, 143 Близенько 2.00 грн",2025-09-05,11
236,"Брюховицька, 143 Близенько 2.00 грн",2025-09-25,12
236,"Брюховицька, 143 Близенько 2.00 грн",2025-10-06,13
236,"Брюховицька, 143 Близенько 2.00 грн",2025-10-24,14
156,"Брюховичі Івасюка, 1 Близенько 2.00 грн",2025-06-03,18
156,"Брюховичі Івасюка, 1 Близенько 2.00 грн",2025-07-06,20
156,"Брюховичі Івасюка, 1 Близенько 2.00 грн",2025-07-31,22
156,"Брюховичі Івасюка, 1 Близенько 2.00 грн",2025-09-05,25
156,"Брюховичі Івасюка, 1 Близенько 2.00 грн",2025-10-06,24
156,"Брюховичі Івасюка, 1 Близенько 2.00 грн",2025-10-24,23
243,"Брюховичі Львівська, 92 Близенько 2.00 грн",2025-06-03,6
243,"Брюховичі Львівська, 92 Близенько 2.00 грн",2025-07-06,5
243,"Брюховичі Львівська, 92 Близенько 2.00 грн",2025-07-31,10
243,"Брюховичі Львівська, 92 Близенько 2.00 грн",2025-09-05,8
243,"Брюховичі Львівська, 92 Близенько 2.00 грн",2025-10-24,7
344,"Брюховичі, Весняна, 1а 1.50 грн",2025-09-05,241
344,"Брюховичі, Весняна, 1а 1.50 грн",2025-09-25,231
344,"Брюховичі, Весняна, 1а 1.50 грн",2025-10-24,4
179,"В.Великого, 1 Близенько 2.00 грн",2025-07-02,50
179,"В.Великого, 1 Близенько 2.00 грн",2025-09-26,5
179,"В.Великого, 1 Близенько 2.00 грн",2025-10-27,5
18,"В.Великого, 103  Близенько 1.50 грн",2025-07-02,11
18,"В.Великого, 103  Близенько 1.50 грн",2025-07-31,12
18,"В.Великого, 103  Близенько 1.50 грн",2025-11-03,14
116,"В.Великого, 35а Близенько 2.00 грн",2025-07-02,77
116,"В.Великого, 35а Близенько 2.00 грн",2025-07-31,86
116,"В.Великого, 35а Близенько 2.00 грн",2025-10-14,6
116,"В.Великого, 35а Близенько 2.00 грн",2025-10-27,6
221,"В.Великого, 75  Близенько 1.50 грн",2025-07-02,44
221,"В.Великого, 75  Близенько 1.50 грн",2025-11-06,40
259,"Васильківського,9  Сім23 1.50 грн",2025-07-25,20
259,"Васильківського,9  Сім23 1.50 грн",2025-10-31,5
254,"Вашингтона, 4в Близенько 2.00 грн",2025-06-03,9
254,"Вашингтона, 4в Близенько 2.00 грн",2025-07-04,13
254,"Вашингтона, 4в Близенько 2.00 грн",2025-08-06,17
254,"Вашингтона, 4в Близенько 2.00 грн",2025-09-06,18
254,"Вашингтона, 4в Близенько 2.00 грн",2025-09-27,17
254,"Вашингтона, 4в Близенько 2.00 грн",2025-10-31,22
327,"Веливока, 9 Близенько 2.00 грн",2025-06-19,9
327,"Веливока, 9 Близенько 2.00 грн",2025-07-16,9
327,"Веливока, 9 Близенько 2.00 грн",2025-07-29,9
327,"Веливока, 9 Близенько 2.00 грн",2025-08-18,41
327,"Веливока, 9 Близенько 2.00 грн",2025-08-29,25
327,"Веливока, 9 Близенько 2.00 грн",2025-09-18,24
327,"Веливока, 9 Близенько 2.00 грн",2025-09-26,25
327,"Веливока, 9 Близенько 2.00 грн",2025-10-11,26
327,"Веливока, 9 Близенько 2.00 грн",2025-10-25,22
327,"Веливока, 9 Близенько 2.00 грн",2025-11-07,20
327,"Веливока, 9 Близенько 2.00 грн",2025-11-13,22
339,"Вербицького, 16  Близенько 1.50 грн",2025-07-17,5
339,"Вербицького, 16  Близенько 1.50 грн",2025-08-26,5
339,"Вербицького, 16  Близенько 1.50 грн",2025-10-17,6
107,"Ветеранів, 5 ОСББ  1.50 грн",2025-06-09,33
107,"Ветеранів, 5 ОСББ  1.50 грн",2025-06-25,34
107,"Ветеранів, 5 ОСББ  1.50 грн",2025-10-11,8
107,"Ветеранів, 5 ОСББ  1.50 грн",2025-10-27,3
202,"Виговського, 5 Сімі 2.00 грн",2025-05-28,9
202,"Виговського, 5 Сімі 2.00 грн",2025-06-30,10
